Modalidad;actividad;descripcion_actividad;lugar;dirección;calle;altura;barrio ;comuna;fecha_ini;fecha_fin;tipo;tipo_actividad;disciplina;publico_objetivo;se_suspende_por_lluvia;Gratuita;long;lat;Links
Presencial;¡Arenas Movedizas! Cuidado, no hay que tocar el piso;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-20;2021-07-20;Actividad;Formación;Mixto;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;¡Arenas Movedizas! Cuidado, no hay que tocar el piso;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-21;2021-07-21;Actividad;Formación;Mixto;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;¡Arenas Movedizas! Cuidado, no hay que tocar el piso.;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-26;2021-07-26;Actividad;Formación;Otros;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;¡Arenas Movedizas! Cuidado, no hay que tocar el piso.;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-27;2021-07-27;Actividad;Formación;Otros;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Jugar por los derechos. Junto al Ministerio Público Tutelar de la Ciudad.;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-17;2021-07-17;Actividad;Formación;Mixto;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Jugar por los derechos. Junto al Ministerio Público Tutelar de la Ciudad.;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-19;2021-07-19;Actividad;Formación;Mixto;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Jugar por los derechos. Junto al Ministerio Público Tutelar de la Ciudad.;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-20;2021-07-20;Actividad;Formación;Mixto;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Jugar por los derechos. Junto al Ministerio Público Tutelar de la Ciudad.;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-24;2021-07-24;Actividad;Formación;Mixto;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Jugar por los derechos. Junto al Ministerio Público Tutelar de la Ciudad.;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-26;2021-07-26;Actividad;Formación;Mixto;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Jugar por los derechos. Junto al Ministerio Público Tutelar de la Ciudad.;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-27;2021-07-27;Actividad;Formación;Mixto;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Jugar por los derechos. Junto al Ministerio Público Tutelar de la Ciudad.;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-31;2021-07-31;Actividad;Formación;Mixto;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Coté te canta;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-17;2021-07-17;Actividad;Concierto / Recital;Música;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Los Cazurros;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-18;2021-07-18;Actividad;Función / Exhibición;Artes Escénicas;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Mundo Arlequín;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-19;2021-07-19;Actividad;Concierto / Recital;Música;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Cien Volando;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-20;2021-07-20;Actividad;Concierto / Recital;Música;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Había una vez rock!;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-20;2021-07-21;Actividad;Concierto / Recital;Música;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Semillita;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-22;2021-07-22;Actividad;Concierto / Recital;Música;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Capitán Sanata;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-23;2021-07-23;Actividad;Concierto / Recital;Música;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
Presencial;Los Rockan - Saborrrr Tropical;;USINA DEL ARTE;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1.0;BOCA;4;2021-07-24;2021-07-24;Actividad;Concierto / Recital;Música;Niños (4-7);No;si;-58.35610077291148;-34.62869184391887;
