grupo,culto,nombre_institucion,domicilio,barrio,cgpc,cp,lat,long
Cristianos,Católico Apostólico Romano ,San Luis Gonzaga,Baigorria  4260,Monte Castro,10.0,C1417FSH,-34.611368,-58.503883
Cristianos,Católico Apostólico Romano ,San Juan María Vianney,Avda.  San Martín 4460,Villa Del Parque,15.0,C1417DSR,-34.598114,-58.482756
Cristianos,Católico Apostólico Romano ,San Martín De Tours,San Martín De Tours 2949,Palermo,14.0,C1425DNC,-34.578011,-58.403836
Cristianos,Católico Apostólico Romano ,San Lucas,Paraguay 2150,Recoleta,2.0,C1113AAC,-34.598432,-58.398177
Cristianos,Católico Apostólico Romano ,San Roque,Plaza 1160,Villa Ortuzar,15.0,C1427CVI,-34.580834,-58.467333
Cristianos,Católico Apostólico Romano ,San Nicolás De Bari,Avda. Santa  Fe 1352,Retiro,1.0,C1059ABU,-34.595791,-58.386535
Cristianos,Católico Apostólico Romano ,San Patricio,Estomba 1942,Villa Urquiza,12.0,C1430EGJ,-34.572024,-58.470292
Cristianos,Católico Apostólico Romano ,San Miguel Arcángel,Bartolomé  Mitre  896,San Nicolas,1.0,C1036AAP,-34.607173,-58.37912
Cristianos,Católico Apostólico Romano ,San Miguel,24 De Noviembre 1651,Parque Patricios,4.0,C1241AAI,-34.63048,-58.409879
Cristianos,Católico Apostólico Romano ,San Martín De Porres,Virrey Loreto 2161,Belgrano,13.0,C1426DXM,-34.565725,-58.448652
Cristianos,Católico Apostólico Romano ,San Pantaleón,Monte 6865,Mataderos,9.0,C1440BMG,-34.66907,-58.497548
Cristianos,Católico Apostólico Romano ,San Pablo Apóstol,Alvarez Thomas 799,Colegiales,13.0,C1427CCH,-34.579619,-58.453359
Cristianos,Católico Apostólico Romano ,San Pedro González Telmo,Humberto Primo 340,San Telmo,1.0,C1103ACH,-34.6207,-58.370529
Cristianos,Católico Apostólico Romano ,San Pedro Apóstol,Bermúdez 2011,Monte Castro,10.0,C1417BWC,-34.619768,-58.509055
Cristianos,Católico Apostólico Romano ,San Pedro,Benito Quinquela Martín  1151,Boca,4.0,C1167AFE,-34.642586,-58.36659
Cristianos,Católico Apostólico Romano ,San Tarsicio,Demaria 4430,Palermo,14.0,C1425AEB,-34.575382,-58.419834
Cristianos,Católico Apostólico Romano ,San Pio X,Basualdo 750,Mataderos,9.0,C1440DNH,-34.645013,-58.498369
Cristianos,Católico Apostólico Romano ,San Ramon Nonato,Cervantes 1150,Velez Sarfield,10.0,C1407BGT,-34.627834,-58.501448
Cristianos,Católico Apostólico Romano ,San Rafael Arcángel,José P. Varela 5272,Villa Devoto,11.0,C1417,-34.615118,-58.522608
Cristianos,Católico Apostólico Romano ,San Saturnino Y San Judas,Miraflores 2080,Parque Chacabuco,7.0,C1406COB,-34.644099,-58.438821
Cristianos,Católico Apostólico Romano ,San Vicente De Paul,Manuel Artigas 6150,Mataderos,9.0,C1440BRV,-34.651779,-58.504795
Cristianos,Católico Apostólico Romano ,Santa Adela,Avda. Luis María Campos  195,Palermo,14.0,C1425GEB,-34.57435,-58.431641
Cristianos,Católico Apostólico Romano ,Santa Amelia,Virrey Liniers 428,Almagro,5.0,C1174ACJ,-34.615975,-58.414276
Cristianos,Católico Apostólico Romano ,Santa Ana,Pedro Lozano 3167,Villa Del Parque,11.0,C1417EDK,-34.60108,-58.494899
Cristianos,Católico Apostólico Romano ,Santa Clara De Asis,Gurruchaga 1012,Villa Crespo,15.0,C1414DHV,-34.593416,-58.43569
Cristianos,Católico Apostólico Romano ,Santa Elena,Juan Francisco Seguí 3815,Palermo,14.0,C1425ACG,-34.577906,-58.411827
Cristianos,Católico Apostólico Romano ,Santa Francisca Javier Cabrini,Francisco Bilbao 2241,Flores,7.0,C1406FFS,-34.633745,-58.457848
Cristianos,Católico Apostólico Romano ,Santa Catalina De Alejandría,Brasil 850,Constitucion,1.0,CF1154AAN,-34.626547,-58.376648
Cristianos,Católico Apostólico Romano ,Santa Clara,Zuviria 2631,Flores,7.0,C1406HSS,-34.642774,-58.455845
Cristianos,Católico Apostólico Romano ,Santa Elisa,Salta 2290,Barracas,4.0,C1137ACV,-34.633856,-58.382466
Cristianos,Católico Apostólico Romano ,Santa Cruz,Estados Unidos 3150,San Cristobal,3.0,1228,-34.621484,-58.410054
Cristianos,Católico Apostólico Romano ,Santa Lucía,Gascón 1372,Palermo,14.0,C1181ACZ,-34.594475,-58.422967
Cristianos,Católico Apostólico Romano ,Santa Inés Virgen Y Mártir,Ávalos 250,Paternal,15.0,C1427AWD,-34.593829,-58.466613
Cristianos,Católico Apostólico Romano ,Santa Lucia Virgen Y Mártir,Avda.Montes De Oca 550,Barracas,4.0,C1270AAS,-34.634621,-58.375258
Cristianos,Católico Apostólico Romano ,Santa María De Los Ángeles,Dr. Rómulo Naón 3250,Coghlan,12.0,C1430EQL,,
Cristianos,Católico Apostólico Romano ,Santa Margarita María Alacoque,Pico 4950,Saavedra,12.0,C1430CYP,-34.551668,-58.498125
Cristianos,Católico Apostólico Romano ,Santa Julia,Juan B. Alberdi 1195,Caballito,6.0,1406,-34.623531,-58.44465
Cristianos,Católico Apostólico Romano ,Santa María,Avda. La Plata 286,Almagro,5.0,C1184AAP,-34.618063,-58.428494
Cristianos,Católico Apostólico Romano ,Santa Isabel De Hungría,Estrada 823,Parque Chacabuco,7.0,C1424CNQ,-34.631976,-58.436699
Cristianos,Católico Apostólico Romano ,Santiago Apostol,Tte. Gral. Pablo Ricchieri 3189,Belgrano,13.0,C1428CEI,,
Cristianos,Católico Apostólico Romano ,Santísimo Sacramento,San Martín 1039,Retiro,1.0,C1004AAU,-34.595482,-58.374329
Cristianos,Católico Apostólico Romano ,Santa Teresa Del Niño Jesús,Quiros 2941,Parque Chas,15.0,C1427DAG,-34.589863,-58.476191
Cristianos,Católico Apostólico Romano ,Santa Maria Teresa  Goretti,Avda. Escalada 1150,Parque Avellaneda,9.0,C1407NDX,-34.648304,-58.490842
Cristianos,Católico Apostólico Romano ,Santa Rosa De Lima,Avda. Belgrano 2216,Balvanera,3.0,C1081AAI,-34.6143,-58.397743
Cristianos,Católico Apostólico Romano ,Santa Rita De Casia,Camarones 3443,Villa Santa Rita,11.0,C1407FMC,-34.615858,-58.487234
Cristianos,Católico Apostólico Romano ,Santísima Trinidad,Avda. Cabildo 3680,Nuñez,13.0,C1429AAU,-34.549289,-58.468094
Cristianos,Católico Apostólico Romano ,Santa María De Betania,Medrano 752,Almagro,5.0,C1179AAN,-34.601294,-58.420772
Cristianos,Católico Apostólico Romano ,Santísimo Redentor,Larrea 1252,Recoleta,2.0,C1117ABJ,-34.59254,-58.400253
Cristianos,Católico Apostólico Romano ,Santos Sabino Y Bonifacio,Primera Junta 4095,Parque Avellaneda,9.0,C1407HTI,-34.648874,-58.472115
