long,lat,id,nombre,tipo,etapa,etapa_obse,estado,subcategor,calle_nombre,calle_altura,calle_cruce,barrio,comuna,codigo_postal,codigo_postal_argentino,objeto
-58.3810424601935,-34.6134730732241,72,Estación Belgrano,Metrobus,Gestión previa HRL,,Disponible,9 de Julio,9 DE JULIO AV.,0,BELGRANO AV.,Monserrat,Comuna 1,,,SITIO WIFI
-58.381171727514,-34.611070891371,71,Estación Alsina,Metrobus,Gestión previa HRL,,Disponible,9 de Julio,9 DE JULIO AV.,0,"ALSINA, ADOLFO",Monserrat,Comuna 1,,,SITIO WIFI
-58.4077330908641,-34.6379349572243,70,Enrique Banchs,Biblioteca,Gestión previa HRL,5ta. ETAPA / Noviembre 2012 (Bibliotecas Públicas),Disponible,Biblioteca,CASEROS AV.,0,"URQUIZA, Gral.",Parque Patricios,Comuna 4,,,SITIO WIFI
-58.4746023514832,-34.676923360823,69,El Progreso,Biblioteca,Gestión previa HRL,5ta. ETAPA / Noviembre 2012 (Bibliotecas Públicas),Disponible,Biblioteca,RIESTRA AV.,5655,,Villa Lugano,Comuna 8,1439,C1439BYH,SITIO WIFI
-58.4306325651446,-34.5573351679207,68,Dirección Gral. Sist. Pluviales,Espacio Público,Gestión previa HRL,,Disponible,Edificios del GCABA,"BELLO, ANDRES",0,"BUNGE, Int.",Palermo,Comuna 14,,,SITIO WIFI
-58.3602658369178,-34.6094311596753,67,Dirección Gral. de Museos,Espacio Público,Gestión previa HRL,,Disponible,Edificios del GCABA,DE LOS ITALIANOS AV.,0,MARTA LYNCH,Puerto Madero,Comuna 1,,,SITIO WIFI
-58.4546865817755,-34.6845494283853,66,Dirección de Licencias,Espacio Público,Gestión previa HRL,3ra. ETAPA / Agosto 2012,Disponible,Edificios del GCABA,"ROCA, CNEL. AV.",5200,,Villa Riachuelo,Comuna 8,1439,C1439DVO,SITIO WIFI
-58.4719321895745,-34.6553824393315,65,Barrio Los Piletones,Espacio Público,Gestión previa HRL,,Disponible,Inclusión,SAN JUAN BAUTISTA DE LA SALLE AV.,0,DERQUI AV.,Parque Avellaneda,Comuna 9,,,SITIO WIFI
-58.374854938614,-34.6103442931861,64,Diagonal Sur y Peru,Parques y Plazas,Gestión previa HRL,1ra. ETAPA / Disponible,Disponible,Parques y Plazas,"ROCA, JULIO A., PRESIDENTE AV.",0,PERU,Monserrat,Comuna 1,,,SITIO WIFI
-58.3790286025624,-34.6048900950283,63,Diagonal Norte y Sarmiento,Área Central,Gestión previa HRL,,Disponible,Diagonal Norte,"SAENZ PEÑA, ROQUE, PRES. AV.",0,SARMIENTO,San Nicolas,Comuna 1,,,SITIO WIFI
-58.3737067236271,-34.6076443815688,62,Diagonal Norte y San Martín,Área Central,Gestión previa HRL,,Disponible,Diagonal Norte,"SAENZ PEÑA, ROQUE, PRES. AV.",0,SAN MARTIN,Monserrat,Comuna 1,,,SITIO WIFI
-58.3772660055996,-34.6057782667736,61,Diagonal Norte y Perón,Área Central,Gestión previa HRL,,Disponible,Diagonal Norte,"SAENZ PEÑA, ROQUE, PRES. AV.",0,"PERON, JUAN DOMINGO, TTE. GENERAL",San Nicolas,Comuna 1,,,SITIO WIFI
-58.3763846688999,-34.6062456866607,60,Diagonal Norte y Maipú,Área Central,Gestión previa HRL,,Disponible,Diagonal Norte,"SAENZ PEÑA, ROQUE, PRES. AV.",0,MAIPU,San Nicolas,Comuna 1,,,SITIO WIFI
-58.3748931714983,-34.6070196315074,59,Diagonal Norte y Florida,Área Central,Gestión previa HRL,,Disponible,Diagonal Norte,"SAENZ PEÑA, ROQUE, PRES. AV.",0,FLORIDA,San Nicolas,Comuna 1,,,SITIO WIFI
-58.3916273578678,-34.6245876275318,58,Del Docente,Biblioteca,Gestión previa HRL,5ta. ETAPA / Noviembre 2012 (Bibliotecas Públicas),Disponible,Biblioteca,ENTRE RIOS AV.,1349,,San Cristobal,Comuna 3,1133,C1133AAB,SITIO WIFI
